data,ano,mes,regiao,bioma,focos_observados
2025-01-08,2025,1,Nordeste,Amazônia,5
2025-01-08,2025,1,Norte,Amazônia,502
2025-01-08,2025,1,Nordeste,Caatinga,626
2025-01-08,2025,1,Centro-Oeste,Cerrado,97
2025-01-08,2025,1,Nordeste,Cerrado,28
2025-01-08,2025,1,Norte,Cerrado,12
2025-01-08,2025,1,Sudeste,Cerrado,78
2025-01-08,2025,1,Centro-Oeste,Mata Atlântica,18
2025-01-08,2025,1,Nordeste,Mata Atlântica,385
2025-01-08,2025,1,Sudeste,Mata Atlântica,76
2025-01-08,2025,1,Sul,Mata Atlântica,91
2025-01-08,2025,1,Sul,Pampa,65
2025-01-08,2025,1,Centro-Oeste,Pantanal,3
2025-01-09,2025,1,Nordeste,Amazônia,31
2025-01-09,2025,1,Norte,Amazônia,597
2025-01-09,2025,1,Nordeste,Caatinga,442
2025-01-09,2025,1,Centro-Oeste,Cerrado,188
2025-01-09,2025,1,Nordeste,Cerrado,10
2025-01-09,2025,1,Sudeste,Cerrado,55
2025-01-09,2025,1,Centro-Oeste,Mata Atlântica,16
2025-01-09,2025,1,Nordeste,Mata Atlântica,289
2025-01-09,2025,1,Sudeste,Mata Atlântica,72
2025-01-09,2025,1,Sul,Mata Atlântica,74
2025-01-09,2025,1,Sul,Pampa,56
2025-01-09,2025,1,Centro-Oeste,Pantanal,18
2025-01-10,2025,1,Centro-Oeste,Amazônia,1
2025-01-10,2025,1,Nordeste,Amazônia,4
2025-01-10,2025,1,Norte,Amazônia,1063
2025-01-10,2025,1,Nordeste,Caatinga,247
2025-01-10,2025,1,Centro-Oeste,Cerrado,248
2025-01-10,2025,1,Nordeste,Cerrado,32
2025-01-10,2025,1,Norte,Cerrado,1
2025-01-10,2025,1,Sudeste,Cerrado,86
2025-01-10,2025,1,Centro-Oeste,Mata Atlântica,31
2025-01-10,2025,1,Nordeste,Mata Atlântica,235
2025-01-10,2025,1,Sudeste,Mata Atlântica,111
2025-01-10,2025,1,Sul,Mata Atlântica,62
2025-01-10,2025,1,Sul,Pampa,82
2025-01-10,2025,1,Centro-Oeste,Pantanal,18
2025-01-11,2025,1,Centro-Oeste,Amazônia,11
2025-01-11,2025,1,Nordeste,Amazônia,124
2025-01-11,2025,1,Norte,Amazônia,1242
2025-01-11,2025,1,Nordeste,Caatinga,359
2025-01-11,2025,1,Sudeste,Caatinga,2
2025-01-11,2025,1,Centro-Oeste,Cerrado,199
2025-01-11,2025,1,Nordeste,Cerrado,31
2025-01-11,2025,1,Norte,Cerrado,2
2025-01-11,2025,1,Sudeste,Cerrado,91
2025-01-11,2025,1,Centro-Oeste,Mata Atlântica,24
2025-01-11,2025,1,Nordeste,Mata Atlântica,21
2025-01-11,2025,1,Sudeste,Mata Atlântica,102
2025-01-11,2025,1,Sul,Mata Atlântica,30
2025-01-11,2025,1,Sul,Pampa,93
2025-01-11,2025,1,Centro-Oeste,Pantanal,271
2025-01-12,2025,1,Centro-Oeste,Amazônia,3
2025-01-12,2025,1,Nordeste,Amazônia,59
2025-01-12,2025,1,Norte,Amazônia,515
2025-01-12,2025,1,Nordeste,Caatinga,65
2025-01-12,2025,1,Centro-Oeste,Cerrado,123
2025-01-12,2025,1,Nordeste,Cerrado,18
2025-01-12,2025,1,Sudeste,Cerrado,32
2025-01-12,2025,1,Centro-Oeste,Mata Atlântica,9
2025-01-12,2025,1,Nordeste,Mata Atlântica,3
2025-01-12,2025,1,Sudeste,Mata Atlântica,28
2025-01-12,2025,1,Sul,Mata Atlântica,27
2025-01-12,2025,1,Sul,Pampa,91
2025-01-12,2025,1,Centro-Oeste,Pantanal,7
2025-01-13,2025,1,Centro-Oeste,Amazônia,11
2025-01-13,2025,1,Nordeste,Amazônia,31
2025-01-13,2025,1,Norte,Amazônia,858
2025-01-13,2025,1,Nordeste,Caatinga,68
2025-01-13,2025,1,Centro-Oeste,Cerrado,39
2025-01-13,2025,1,Nordeste,Cerrado,71
2025-01-13,2025,1,Sudeste,Cerrado,53
2025-01-13,2025,1,Centro-Oeste,Mata Atlântica,3
2025-01-13,2025,1,Sudeste,Mata Atlântica,41
2025-01-13,2025,1,Sul,Mata Atlântica,66
2025-01-13,2025,1,Sul,Pampa,387
2025-01-13,2025,1,Centro-Oeste,Pantanal,16
2025-01-14,2025,1,Centro-Oeste,Amazônia,1
2025-01-14,2025,1,Norte,Amazônia,1255
2025-01-14,2025,1,Nordeste,Caatinga,42
2025-01-14,2025,1,Centro-Oeste,Cerrado,31
2025-01-14,2025,1,Nordeste,Cerrado,1
2025-01-14,2025,1,Sudeste,Cerrado,53
2025-01-14,2025,1,Centro-Oeste,Mata Atlântica,5
2025-01-14,2025,1,Nordeste,Mata Atlântica,2
2025-01-14,2025,1,Sudeste,Mata Atlântica,48
2025-01-14,2025,1,Sul,Mata Atlântica,125
2025-01-14,2025,1,Sul,Pampa,214
2025-01-14,2025,1,Centro-Oeste,Pantanal,60
2025-01-15,2025,1,Centro-Oeste,Amazônia,8
2025-01-15,2025,1,Norte,Amazônia,1853
